script,model,fold,valid_accuracy,test_accuracy
train OKD,mobilenet,1,0.647058824,0.894736842
train OKD,mobilenet,2,0.705882353,0.789473684
train OKD,mobilenet,3,0.794117647,0.868421053
train OKD,mobilenet,4,0.852941176,0.842105263
train OKD,mobilenet,5,0.818181818,0.868421053
train OKD,mobilenet,6,0.757575758,0.842105263
train OKD,mobilenet,7,0.848484848,0.894736842
train OKD,mobilenet,8,0.757575758,0.894736842
train OKD,mobilenet,9,0.787878788,0.868421053
train OKD,mobilenet,10,0.787878788,0.894736842
train OKD,efficient,1,0.794117647,0.947368421
train OKD,efficient,2,0.823529412,0.894736842
train OKD,efficient,3,0.852941176,0.947368421
train OKD,efficient,4,0.852941176,0.894736842
train OKD,efficient,5,0.727272727,0.894736842
train OKD,efficient,6,0.909090909,0.921052632
train OKD,efficient,7,0.818181818,0.947368421
train OKD,efficient,8,0.696969697,0.868421053
train OKD,efficient,9,0.818181818,0.894736842
train OKD,efficient,10,0.787878788,0.947368421
train OKD,dense,1,0.764705882,0.973684211
train OKD,dense,2,0.794117647,0.947368421
train OKD,dense,3,0.823529412,0.894736842
train OKD,dense,4,0.852941176,0.947368421
train OKD,dense,5,0.666666667,0.894736842
train OKD,dense,6,0.939393939,0.973684211
train OKD,dense,7,0.818181818,0.815789474
train OKD,dense,8,0.696969697,0.894736842
train OKD,dense,9,0.757575758,0.921052632
train OKD,dense,10,0.818181818,0.894736842
train OKD,edgenext,1,0.647058824,0.947368421
train OKD,edgenext,2,0.852941176,0.894736842
train OKD,edgenext,3,0.794117647,0.842105263
train OKD,edgenext,4,0.882352941,0.947368421
train OKD,edgenext,5,0.757575758,0.947368421
train OKD,edgenext,6,0.909090909,0.947368421
train OKD,edgenext,7,0.757575758,0.868421053
train OKD,edgenext,8,0.727272727,0.868421053
train OKD,edgenext,9,0.666666667,0.973684211
train OKD,edgenext,10,0.818181818,0.894736842
train OKD,KONet,1,0.794117647,0.947368421
train OKD,KONet,2,0.764705882,0.947368421
train OKD,KONet,3,0.794117647,0.921052632
train OKD,KONet,4,0.852941176,0.947368421
train OKD,KONet,5,0.636363636,0.894736842
train OKD,KONet,6,0.878787879,0.894736842
train OKD,KONet,7,0.818181818,0.973684211
train OKD,KONet,8,0.787878788,0.894736842
train OKD,KONet,9,0.818181818,0.842105263
train OKD,KONet,10,0.787878788,0.921052632
train 2 class KOD,efficient,1,0.75,0.928571429
train 2 class KOD,efficient,2,0.666666667,0.857142857
train 2 class KOD,efficient,3,0.583333333,0.714285714
train 2 class KOD,efficient,4,0.666666667,0.857142857
train 2 class KOD,efficient,5,0.833333333,0.928571429
train 2 class KOD,efficient,6,0.666666667,0.857142857
train 2 class KOD,efficient,7,0.833333333,0.928571429
train 2 class KOD,efficient,8,0.75,0.928571429
train 2 class KOD,efficient,9,0.727272727,0.642857143
train 2 class KOD,efficient,10,0.909090909,0.928571429
train 2 class KOD,dense,1,0.75,0.928571429
train 2 class KOD,dense,2,0.666666667,0.857142857
train 2 class KOD,dense,3,0.916666667,0.928571429
train 2 class KOD,dense,4,0.5,0.5
train 2 class KOD,dense,5,0.75,0.928571429
train 2 class KOD,dense,6,0.833333333,0.857142857
train 2 class KOD,dense,7,1,1
train 2 class KOD,dense,8,0.416666667,0.714285714
train 2 class KOD,dense,9,0.545454545,0.642857143
train 2 class KOD,dense,10,1,0.928571429
train 2 class KOD,edgenext,1,0.583333333,0.714285714
train 2 class KOD,edgenext,2,0.833333333,0.928571429
train 2 class KOD,edgenext,3,0.916666667,0.928571429
train 2 class KOD,edgenext,4,0.833333333,0.785714286
train 2 class KOD,edgenext,5,0.75,0.714285714
train 2 class KOD,edgenext,6,0.583333333,0.785714286
train 2 class KOD,edgenext,7,0.833333333,0.928571429
train 2 class KOD,edgenext,8,0.333333333,0.571428571
train 2 class KOD,edgenext,9,0.636363636,0.785714286
train 2 class KOD,edgenext,10,1,0.928571429
train 2 class KOD,KONet,1,0.666666667,0.785714286
train 2 class KOD,KONet,2,0.5,0.642857143
train 2 class KOD,KONet,3,0.833333333,0.928571429
train 2 class KOD,KONet,4,0.75,0.857142857
train 2 class KOD,KONet,5,0.75,0.857142857
train 2 class KOD,KONet,6,0.916666667,0.928571429
train 2 class KOD,KONet,7,0.833333333,1
train 2 class KOD,KONet,8,0.75,0.928571429
train 2 class KOD,KONet,9,0.818181818,0.928571429
train 2 class KOD,KONet,10,0.909090909,0.928571429
train 2 class KOD,mobilenet,1,0.5,0.571428571
train 2 class KOD,mobilenet,2,0.583333333,0.714285714
train 2 class KOD,mobilenet,3,0.75,0.785714286
train 2 class KOD,mobilenet,4,0.666666667,0.714285714
train 2 class KOD,mobilenet,5,0.333333333,0.571428571
train 2 class KOD,mobilenet,6,0.833333333,0.714285714
train 2 class KOD,mobilenet,7,0.833333333,0.928571429
train 2 class KOD,mobilenet,8,0.916666667,0.857142857
train 2 class KOD,mobilenet,9,0.727272727,0.857142857
train 2 class KOD,mobilenet,10,0.818181818,0.857142857
train OKD distillation,mobilenet,1,0.764705882,0.789473684
train OKD distillation,mobilenet,2,0.794117647,0.842105263
train OKD distillation,mobilenet,3,0.823529412,0.921052632
train OKD distillation,mobilenet,4,0.794117647,0.894736842
train OKD distillation,mobilenet,5,0.757575758,0.868421053
train OKD distillation,mobilenet,6,0.878787879,0.894736842
train OKD distillation,mobilenet,7,0.757575758,0.842105263
